date,hospital,wait_time
2025-06-06,AH,1.01
2025-06-07,AH,0.96
2023-01-01,CGH,7.65
2023-01-02,CGH,12.7
2023-01-03,CGH,15.9666666666667
2023-01-04,CGH,16.3333333333333
2023-01-05,CGH,21.5
2023-01-06,CGH,18.3
2023-01-07,CGH,11.5
2023-01-08,CGH,5.36666666666667
2023-01-09,CGH,11.05833333333335
2023-01-10,CGH,17.7833333333333
2023-01-11,CGH,18.31666666666665
2023-01-12,CGH,14.0333333333333
2023-01-13,CGH,7.866666666666665
2023-01-14,CGH,3.5999999999999996
2023-01-15,CGH,10.2166666666667
2023-01-16,CGH,12.55
2023-01-17,CGH,8.45
2023-01-18,CGH,4.51666666666667
2023-01-19,CGH,2.958333333333335
2023-01-20,CGH,1.81666666666667
2023-01-21,CGH,0.966666666666667
2023-01-22,CGH,0.716666666666667
2023-01-23,CGH,1.7
2023-01-24,CGH,2.26666666666667
2023-01-25,CGH,5.416666666666665
2023-01-26,CGH,6.23333333333333
2023-01-27,CGH,6.51666666666667
2023-01-28,CGH,4.7
2023-01-29,CGH,3.13333333333333
2023-01-30,CGH,14.90833333333335
2023-01-31,CGH,19.0833333333333
